	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
498	149,4	5,9159	42,687	
499	149,7	5,9958	42,639	
500	150,	6,0786	42,59	
501	150,3	6,1645	42,538	
502	150,6	6,2536	42,485	
503	150,9	6,3461	42,429	
504	151,2	6,4423	42,371	
505	151,5	6,5422	42,31	
506	151,8	6,6463	42,247	
507	152,1	6,7547	42,181	
508	152,4	6,8677	42,111	
509	152,7	6,9856	42,039	
510	153,	7,1088	41,963	
511	153,3	7,2375	41,883	
512	153,6	7,3723	41,799	
513	153,9	7,5135	41,711	
514	154,2	7,6616	41,618	
515	154,5	7,8172	41,52	
516	154,8	7,9808	41,417	
517	155,1	8,153	41,308	
518	155,4	8,3346	41,193	
519	155,7	8,5264	41,071	
520	156,	8,7292	40,941	
521	156,3	8,9441	40,803	
522	156,6	9,1721	40,656	
523	156,9	9,4144	40,5	
524	157,2	9,6726	40,333	
525	157,5	9,9481	40,153	
526	157,8	10,243	39,961	
527	158,1	10,559	39,754	
528	158,4	10,899	39,53	
529	158,7	11,265	39,289	
530	159,	11,661	39,027	
531	159,3	12,09	38,742	
532	159,6	12,557	38,43	
533	159,9	13,067	38,089	
534	160,2	13,627	37,713	
535	160,5	14,243	37,298	
536	160,8	14,924	36,836	
537	161,1	15,682	36,321	
538	161,4	16,53	35,742	
539	161,7	17,485	35,088	
540	162,	18,568	34,342	
541	162,3	19,806	33,485	
542	162,6	21,233	32,49	
543	162,9	22,895	31,324	
544	163,2	24,853	29,939	
545	163,5	27,188	28,27	
546	163,8	30,012	26,226	
547	164,1	33,481	23,671	
548	164,4	37,813	20,404	
549	164,7	43,303	16,116	
550	165,	50,321	10,322	
551	165,3	59,19	2,2729	
552	165,6	69,656	-9,0676	
553	165,9	79,502	-24,611	
554	166,2	83,582	-43,649	
555	166,5	78,486	-62,717	
556	166,8	67,836	-78,319	
557	167,1	56,828	-89,712	
558	167,4	47,617	-97,797	
559	167,7	40,382	-103,61	
560	168,	34,75	-107,92	
561	168,3	30,322	-111,19	
562	168,6	26,785	-113,75	
563	168,9	23,912	-115,79	
564	169,2	21,541	-117,46	
565	169,5	19,555	-118,84	
566	169,8	17,871	-120,	
567	170,1	16,427	-120,99	
568	170,4	15,175	-121,84	
569	170,7	14,08	-122,57	
570	171,	13,115	-123,22	
571	171,3	12,259	-123,78	
572	171,6	11,493	-124,29	
573	171,9	10,805	-124,73	
574	172,2	10,184	-125,14	
575	172,5	9,619	-125,5	
576	172,8	9,1042	-125,82	
577	173,1	8,6327	-126,11	
578	173,4	8,1994	-126,38	
579	173,7	7,7998	-126,62	
580	174,	7,43	-126,85	
581	174,3	7,0869	-127,05	
582	174,6	6,7676	-127,23	
583	174,9	6,4697	-127,4	
584	175,2	6,1911	-127,55	
585	175,5	5,9299	-127,7	
586	175,8	5,6846	-127,82	
587	176,1	5,4538	-127,94	
588	176,4	5,2361	-128,05	
589	176,7	5,0304	-128,15	
590	177,	4,8358	-128,24	
591	177,3	4,6513	-128,32	
592	177,6	4,4763	-128,39	
593	177,9	4,3098	-128,46	
594	178,2	4,1514	-128,52	
595	178,5	4,0003	-128,57	
596	178,8	3,8562	-128,61	
597	179,1	3,7185	-128,65	
598	179,4	3,5867	-128,69	
599	179,7	3,4605	-128,71	
600	180,	3,3395	-128,74	
601	180,3	3,2234	-128,75	
602	180,6	3,1118	-128,76	
603	180,9	3,0046	-128,77	
604	181,2	2,9013	-128,77	
605	181,5	2,8018	-128,76	
606	181,8	2,7059	-128,75	
607	182,1	2,6134	-128,74	
608	182,4	2,524	-128,71	
609	182,7	2,4376	-128,69	
610	183,	2,3541	-128,66	
611	183,3	2,2732	-128,62	
612	183,6	2,1948	-128,57	
613	183,9	2,1189	-128,52	
614	184,2	2,0452	-128,47	
615	184,5	1,9737	-128,4	
616	184,8	1,9042	-128,34	
617	185,1	1,8367	-128,26	
618	185,4	1,7711	-128,17	
619	185,7	1,7072	-128,08	
620	186,	1,645	-127,98	
621	186,3	1,5844	-127,87	
622	186,6	1,5254	-127,76	
623	186,9	1,4678	-127,63	
624	187,2	1,4116	-127,49	
625	187,5	1,3567	-127,34	
626	187,8	1,3031	-127,17	
627	188,1	1,2507	-127,	
628	188,4	1,1994	-126,8	
629	188,7	1,1493	-126,59	
630	189,	1,1003	-126,37	
631	189,3	1,0522	-126,12	
632	189,6	1,0052	-125,85	
633	189,9	0,95907	-125,56	
634	190,2	0,91385	-125,24	
635	190,5	0,8695	-124,89	
636	190,8	0,82598	-124,51	
637	191,1	0,78327	-124,08	
638	191,4	0,74134	-123,62	
639	191,7	0,70015	-123,1	
640	192,	0,65969	-122,52	
641	192,3	0,61994	-121,87	
642	192,6	0,58088	-121,14	
643	192,9	0,5425	-120,31	
644	193,2	0,5048	-119,37	
645	193,5	0,46777	-118,28	
646	193,8	0,43143	-117,03	
647	194,1	0,39579	-115,56	
648	194,4	0,36091	-113,81	
649	194,7	0,32683	-111,72	
650	195,	0,29368	-109,17	
651	195,3	0,2616	-106,02	
652	195,6	0,23085	-102,03	
653	195,9	0,20183	-96,916	
654	196,2	0,17518	-90,222	
655	196,5	0,15194	-81,387	
656	196,8	0,13363	-69,861	
657	197,1	0,12227	-55,591	
658	197,4	0,11964	-39,717	
659	197,7	0,12611	-24,43	
660	198,	0,14029	-11,499	
661	198,3	0,16005	-1,3813	
662	198,6	0,18355	6,3183	
663	198,9	0,2095	12,191	
664	199,2	0,23709	16,744	
665	199,5	0,26583	20,348	
666	199,8	0,29543	23,263	
667	200,1	0,32574	25,671	
668	200,4	0,35669	27,699	
669	200,7	0,38827	29,438	
670	201,	0,42056	30,954	
671	201,3	0,4537	32,294	
672	201,6	0,48792	33,489	
673	201,9	0,52355	34,555	
674	202,2	0,56107	35,489	
675	202,5	0,60107	36,263	
676	202,8	0,64419	36,808	
677	203,1	0,6907	37,01	
678	203,4	0,73964	36,719	
679	203,7	0,78767	35,846	
680	204,	0,82933	34,519	
681	204,3	0,86061	33,13	
682	204,6	0,88267	32,092	
683	204,9	0,90027	31,565	
684	205,2	0,91767	31,472	
685	205,5	0,937	31,655	
686	205,8	0,95882	31,984	
687	206,1	0,983	32,374	
688	206,4	1,0092	32,776	
689	206,7	1,037	33,166	
690	207,	1,0661	33,532	
691	207,3	1,0964	33,871	
692	207,6	1,1276	34,182	
693	207,9	1,1597	34,465	
694	208,2	1,1926	34,722	
695	208,5	1,2262	34,956	
696	208,8	1,2604	35,167	
697	209,1	1,2954	35,359	
698	209,4	1,3309	35,532	
699	209,7	1,3672	35,689	
700	210,	1,4041	35,831	
701	210,3	1,4416	35,958	
702	210,6	1,4799	36,072	
703	210,9	1,5189	36,175	
704	211,2	1,5587	36,265	
705	211,5	1,5992	36,346	
706	211,8	1,6406	36,416	
707	212,1	1,6828	36,477	
708	212,4	1,726	36,528	
709	212,7	1,7701	36,571	
710	213,	1,8151	36,606	
