	Time [s]	Minimum [mm]	Maximum [mm]	Average [mm]	
445	0,445	2,452e-003	2,452e-003	2,452e-003	
446	0,446	9,0527e-003	9,0527e-003	9,0527e-003	
447	0,447	5,4978e-003	5,4978e-003	5,4978e-003	
448	0,448	-4,4388e-003	-4,4388e-003	-4,4388e-003	
449	0,449	-9,4208e-003	-9,4208e-003	-9,4208e-003	
450	0,45	-3,4036e-003	-3,4036e-003	-3,4036e-003	
451	0,451	6,7675e-003	6,7675e-003	6,7675e-003	
452	0,452	9,0157e-003	9,0157e-003	9,0157e-003	
453	0,453	4,0756e-004	4,0756e-004	4,0756e-004	
454	0,454	-8,566e-003	-8,566e-003	-8,566e-003	
